,HVAC Heating Type,ASHRAE IECC Climate Zone 2004,Vintage,Geometry Building Type RECS,Heating Fuel,Windows,Water Heater Fuel,HVAC Cooling Type,HVAC Heating Type And Fuel,Infiltration,City
948,Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,None,Natural Gas Fuel Furnace,20 ACH50,"MO, St Louis"
951,Non-Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Fuel Oil,"Single, Clear, Metal",Fuel Oil,Room AC,Fuel Oil Shared Heating,20 ACH50,"NY, New York"
953,Non-Ducted Heating,4A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Room AC,Natural Gas Fuel Boiler,40 ACH50,"MO, Springfield"
954,Ducted Heat Pump,2A,2000s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Heat Pump,Electricity ASHP,10 ACH50,"TX, Temple"
955,Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,25 ACH50,"TX, Tyler"
957,Non-Ducted Heating,6B,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Boiler,5 ACH50,"ID, Idaho Falls"
958,Ducted Heating,3B,1990s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Electricity,Central AC,Natural Gas Fuel Furnace,6 ACH50,"NV, Las Vegas"
960,Ducted Heating,3C,2000s,Multi-Family with 5+ Units,Electricity,"Double, Clear, Metal, Air",Natural Gas,None,Electricity Electric Furnace,10 ACH50,"CA, Oakland"
961,Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Room AC,Natural Gas Fuel Furnace,25 ACH50,"MI, Battle Creek"
963,Ducted Heating,3B,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,10 ACH50,"CA, Indio"
966,Ducted Heat Pump,5A,2010s,Multi-Family with 5+ Units,Electricity,"Double, Low-E, Non-metal, Air, M-Gain",Electricity,Heat Pump,Electricity ASHP,15 ACH50,"MA, Boston"
967,Ducted Heating,2A,<1940,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"TX, Houston"
968,Non-Ducted Heating,3C,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"CA, Oxnard"
969,Non-Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,50 ACH50,"NY, New York"
970,Ducted Heating,4A,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,7 ACH50,"MO, Springfield"
971,Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Non-metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,40 ACH50,"CA, Chula Vista"
973,Ducted Heating,1A,1970s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Electricity,Central AC,Electricity Electric Furnace,20 ACH50,"FL, Tamarac"
974,Non-Ducted Heating,3B,1980s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Fuel Wall/Floor Furnace,15 ACH50,"CA, Oceanside"
975,Non-Ducted Heating,5A,<1940,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Boiler,20 ACH50,"IL, Bloomington"
976,Ducted Heating,3A,1990s,Single-Family Detached,Electricity,"Single, Clear, Non-metal",Natural Gas,Central AC,Electricity Electric Furnace,3 ACH50,"NC, Wilmington"
980,Non-Ducted Heating,4A,1970s,Single-Family Detached,Electricity,"Double, Clear, Non-metal, Air",Electricity,None,Electricity Baseboard,15 ACH50,"TN, Chattanooga"
982,Ducted Heating,4A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,7 ACH50,"TN, Nashville-Davidson Metropolitan Government Balance"
986,Ducted Heating,3A,2000s,Single-Family Detached,Natural Gas,"Double, Low-E, Non-metal, Air, M-Gain",Natural Gas,Central AC,Natural Gas Fuel Furnace,8 ACH50,"NC, Huntersville"
987,Non-Ducted Heating,3B,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Metal, Air",Natural Gas,Room AC,Natural Gas Fuel Boiler,10 ACH50,"CA, Fullerton"
988,Ducted Heating,2A,1970s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Central AC,Electricity Electric Furnace,10 ACH50,"FL, Largo"
989,Ducted Heating,4A,1950s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"NC, Raleigh"
991,Non-Ducted Heating,4A,<1940,Multi-Family with 5+ Units,Natural Gas,"Double, Clear, Metal, Air",Electricity,Room AC,Natural Gas Shared Heating,20 ACH50,"NY, New York"
993,Ducted Heat Pump,3A,2000s,Single-Family Detached,Electricity,"Double, Clear, Metal, Air",Electricity,Heat Pump,Electricity ASHP,15 ACH50,"TX, Fort Worth"
994,Ducted Heating,2A,1950s,Single-Family Detached,Electricity,"Single, Clear, Metal",Propane,Room AC,Electricity Electric Furnace,15 ACH50,"FL, Pinellas Park"
995,Ducted Heating,4C,1960s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,None,Natural Gas Fuel Furnace,15 ACH50,"WA, Federal Way"
996,Ducted Heating,4A,2000s,Single-Family Detached,Natural Gas,"Double, Clear, Non-metal, Air",Natural Gas,Central AC,Natural Gas Fuel Furnace,7 ACH50,"AR, Fayetteville"
999,Ducted Heating,3A,1950s,Single-Family Detached,Natural Gas,"Single, Clear, Metal",Natural Gas,Central AC,Natural Gas Fuel Furnace,15 ACH50,"TN, Memphis"
